,Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Test Rate,Country Test Rate,country_flag
177,Papua New Guinea,8963009,163,3.0,0.002%,1.840%,18,0.3,10808.0,1206.0,WesternPacific,0.001205845046010776,0.001205845046010776,Lower Test Rate
178,Sint Maarten,42924,160,16.0,0.373%,10.000%,3728,373.0,1115.0,25976.0,Americas,0.02597614388221042,0.02597614388221042,Lower Test Rate
179,Bermuda,62254,157,9.0,0.252%,5.732%,2522,145.0,26352.0,423298.0,Americas,0.4232981013268224,0.4232981013268224,High Test Rate
180,Brunei ,437893,141,3.0,0.032%,2.128%,322,7.0,41148.0,93968.0,South-EastAsia,0.09396816117179312,0.09396816117179312,Medium Test Rate
181,Barbados,287411,133,7.0,0.046%,5.263%,463,24.0,12233.0,42563.0,Americas,0.04256274116161177,0.04256274116161177,Medium Test Rate
182,Turks and Caicos,38768,129,2.0,0.333%,1.550%,3327,52.0,1252.0,32295.0,Americas,0.032294676021461,0.032294676021461,Medium Test Rate
183,Seychelles,98408,126,,0.128%,0.000%,1280,,,,Africa,,,
184,Monaco,39270,125,4.0,0.318%,3.200%,3183,102.0,38209.0,972982.0,Europe,0.9729819200407436,0.9729819200407436,High Test Rate
185,Bhutan,772443,105,,0.014%,0.000%,136,,54589.0,70671.0,South-EastAsia,0.07067058669701194,0.07067058669701194,Medium Test Rate
186,Antigua and Barbuda,98010,92,3.0,0.094%,3.261%,939,31.0,1500.0,15305.0,Americas,0.015304560759106214,0.015304560759106214,Lower Test Rate
187,Liechtenstein,38139,89,1.0,0.233%,1.124%,2334,26.0,900.0,23598.0,Europe,0.023597891921654998,0.023597891921654998,Lower Test Rate
188,Belize,398312,86,2.0,0.022%,2.326%,216,5.0,3679.0,9236.0,Americas,0.009236477936893691,0.009236477936893691,Lower Test Rate
189,French Polynesia,281072,64,,0.023%,0.000%,228,,5849.0,20810.0,WesternPacific,0.02080961461831844,0.02080961461831844,Lower Test Rate
190,St. Vincent Grenadines,110976,56,,0.050%,0.000%,505,,2447.0,22050.0,Americas,0.022049812572087657,0.022049812572087657,Lower Test Rate
191,Saint Martin,38729,53,3.0,0.137%,5.660%,1368,77.0,1183.0,30546.0,Americas,0.030545585994990833,0.030545585994990833,Medium Test Rate
192,Macao,650193,46,,0.007%,0.000%,71,,4071.0,6261.0,South-EastAsia,0.006261217823015627,0.006261217823015627,Lower Test Rate
193,Curaçao,164161,31,1.0,0.019%,3.226%,189,6.0,1080.0,6579.0,Americas,0.006578907292231407,0.006578907292231407,Lower Test Rate
194,Fiji,897095,27,1.0,0.003%,3.704%,30,1.0,6693.0,7461.0,WesternPacific,0.007460748304248714,0.007460748304248714,Lower Test Rate
195,Saint Lucia,183712,25,,0.014%,0.000%,136,,3895.0,21202.0,Americas,0.021201663473262498,0.021201663473262498,Lower Test Rate
196,Timor-Leste,1320812,25,,0.002%,0.000%,19,,4238.0,3209.0,South-EastAsia,0.003208632265606309,0.003208632265606309,Lower Test Rate
197,Grenada,112576,24,,0.021%,0.000%,213,,6252.0,55536.0,Americas,0.05553581580443434,0.05553581580443434,Medium Test Rate
198,New Caledonia,285769,22,,0.008%,0.000%,77,,11099.0,38839.0,WesternPacific,0.038839062319565805,0.038839062319565805,Medium Test Rate
199,Laos,7285750,20,,0.000%,0.000%,3,,29374.0,4032.0,WesternPacific,0.004031705726932711,0.004031705726932711,Lower Test Rate
200,Dominica,72004,18,,0.025%,0.000%,250,,1005.0,13958.0,Americas,0.013957557913449253,0.013957557913449253,Lower Test Rate
201,Saint Kitts and Nevis,53237,17,,0.032%,0.000%,319,,1146.0,21526.0,Americas,0.02152638202753724,0.02152638202753724,Lower Test Rate
202,Greenland,56780,14,,0.025%,0.000%,247,,5977.0,105266.0,Europe,0.10526593871081366,0.10526593871081366,High Test Rate
203,Montserrat,4992,13,1.0,0.260%,7.692%,2604,200.0,61.0,12220.0,Americas,0.012219551282051282,0.012219551282051282,Lower Test Rate
204,Caribbean Netherlands,26247,13,,0.050%,0.000%,495,,424.0,16154.0,Americas,0.0161542271497695,0.0161542271497695,Lower Test Rate
205,Falkland Islands,3489,13,,0.373%,0.000%,3726,,1816.0,520493.0,Americas,0.5204929779306392,0.5204929779306392,High Test Rate
206,Vatican City,801,12,,1.498%,0.000%,14981,,,,Europe,,,
207,Western Sahara,598682,10,1.0,0.002%,10.000%,17,2.0,,,Africa,,,
