,Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Test Rate,Country Test Rate,country_flag
39,Romania,19224023,57895,2566.0,0.301%,4.432%,3012,133.0,1319369.0,68631.0,Europe,0.06863126412197905,0.06863126412197905,Medium Test Rate
40,Netherlands,17138756,56982,6153.0,0.332%,10.798%,3325,359.0,1079860.0,63007.0,Europe,0.06300690668564277,0.06300690668564277,Medium Test Rate
41,Singapore,5854932,54555,27.0,0.932%,0.049%,9318,5.0,1474372.0,251817.0,WesternPacific,0.2518171005231145,0.2518171005231145,High Test Rate
42,Guatemala,17946899,54339,2119.0,0.303%,3.900%,3028,118.0,172712.0,9624.0,Americas,0.00962350097362224,0.00962350097362224,Lower Test Rate
43,Portugal,10193593,52061,1743.0,0.511%,3.348%,5107,171.0,1705474.0,167308.0,Europe,0.16730842598875587,0.16730842598875587,High Test Rate
44,Poland,37842302,49515,1774.0,0.131%,3.583%,1308,47.0,2374686.0,62752.0,Europe,0.06275215498253779,0.06275215498253779,Medium Test Rate
45,Nigeria,206606300,45244,930.0,0.022%,2.056%,219,5.0,306894.0,1485.0,Africa,0.0014854048497069062,0.0014854048497069062,Lower Test Rate
46,Honduras,9919704,45098,1423.0,0.455%,3.155%,4546,143.0,109292.0,11018.0,Americas,0.01101766746265816,0.01101766746265816,Lower Test Rate
47,Bahrain,1706669,42889,156.0,2.513%,0.364%,25130,91.0,876700.0,513691.0,MiddleEast,0.5136907039384907,0.5136907039384907,High Test Rate
48,Japan,126435859,42263,1026.0,0.033%,2.428%,334,8.0,938739.0,7425.0,WesternPacific,0.007424626268406971,0.007424626268406971,Lower Test Rate
49,Armenia,2963811,39819,772.0,1.344%,1.939%,13435,260.0,171600.0,57898.0,Europe,0.057898428745962544,0.057898428745962544,Medium Test Rate
50,Ghana,31133483,39642,199.0,0.127%,0.502%,1273,6.0,405817.0,13035.0,Africa,0.013034744618840109,0.013034744618840109,Lower Test Rate
51,Kyrgyzstan,6534479,38659,1447.0,0.592%,3.743%,5916,221.0,267718.0,40970.0,Europe,0.0409700605052063,0.0409700605052063,Medium Test Rate
52,Afghanistan,39009447,36896,1298.0,0.095%,3.518%,946,33.0,90396.0,2317.0,MiddleEast,0.0023172848361577647,0.0023172848361577647,Lower Test Rate
53,Switzerland,8660952,36108,1985.0,0.417%,5.497%,4169,229.0,822764.0,94997.0,Europe,0.09499694721781163,0.09499694721781163,Medium Test Rate
54,Algeria,43926079,33626,1273.0,0.077%,3.786%,766,29.0,,,Africa,,,
55,Azerbaijan,10148243,33247,479.0,0.328%,1.441%,3276,47.0,766179.0,75499.0,Europe,0.07549868484623397,0.07549868484623397,Medium Test Rate
56,Morocco,36953359,29644,449.0,0.080%,1.515%,802,12.0,1383816.0,37448.0,MiddleEast,0.037447637710011694,0.037447637710011694,Medium Test Rate
57,Uzbekistan,33516027,28315,175.0,0.084%,0.618%,845,5.0,1377915.0,41112.0,Europe,0.04111212226914604,0.04111212226914604,Medium Test Rate
58,Serbia,8733665,27332,621.0,0.313%,2.272%,3129,71.0,723137.0,82799.0,Europe,0.08279880210656122,0.08279880210656122,Medium Test Rate
59,Moldova,4032983,26628,828.0,0.660%,3.110%,6603,205.0,128076.0,31757.0,Europe,0.031757138574598505,0.031757138574598505,Medium Test Rate
60,Ireland,4943200,26372,1768.0,0.534%,6.704%,5335,358.0,652917.0,132084.0,Europe,0.13208387279495065,0.13208387279495065,High Test Rate
61,Kenya,53881160,24411,399.0,0.045%,1.635%,453,7.0,335318.0,6223.0,Africa,0.006223288436997273,0.006223288436997273,Lower Test Rate
62,Venezuela,28427499,22299,195.0,0.078%,0.874%,784,7.0,1567431.0,55138.0,Americas,0.055137843818058,0.055137843818058,Medium Test Rate
63,Nepal,29186486,21750,65.0,0.075%,0.299%,745,2.0,731977.0,25079.0,South-EastAsia,0.02507931239135811,0.02507931239135811,Lower Test Rate
64,Austria,9011577,21696,719.0,0.241%,3.314%,2408,80.0,937275.0,104008.0,Europe,0.10400787786643781,0.10400787786643781,High Test Rate
65,Costa Rica,5098730,21070,200.0,0.413%,0.949%,4132,39.0,96110.0,18850.0,Americas,0.0188497920070292,0.0188497920070292,Lower Test Rate
66,Ethiopia,115223736,20900,365.0,0.018%,1.746%,181,3.0,468814.0,4069.0,Africa,0.004068727644797075,0.004068727644797075,Lower Test Rate
67,Australia,25528864,19890,255.0,0.078%,1.282%,779,10.0,4631419.0,181419.0,WesternPacific,0.18141892251844813,0.18141892251844813,High Test Rate
68,El Salvador,6489514,19126,513.0,0.295%,2.682%,2947,79.0,251271.0,38720.0,Americas,0.03871954047714513,0.03871954047714513,Medium Test Rate
