Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Country Test Rate,country_flag
Uzbekistan,33516027,28315,175,0.08%,0.62%,845,5,1377915,41112,Europe,0.041112122,Medium Test Rate
Serbia,8733665,27332,621,0.31%,2.27%,3129,71,723137,82799,Europe,0.082798802,Medium Test Rate
Moldova,4032983,26628,828,0.66%,3.11%,6603,205,128076,31757,Europe,0.031757139,Medium Test Rate
Ireland,4943200,26372,1768,0.53%,6.70%,5335,358,652917,132084,Europe,0.132083873,High Test Rate
Kenya,53881160,24411,399,0.05%,1.64%,453,7,335318,6223,Africa,0.006223288,Lower Test Rate
Venezuela,28427499,22299,195,0.08%,0.87%,784,7,1567431,55138,Americas,0.055137844,Medium Test Rate
Nepal,29186486,21750,65,0.08%,0.30%,745,2,731977,25079,South-EastAsia,0.025079312,Lower Test Rate
Austria,9011577,21696,719,0.24%,3.31%,2408,80,937275,104008,Europe,0.104007878,High Test Rate
Costa Rica,5098730,21070,200,0.41%,0.95%,4132,39,96110,18850,Americas,0.018849792,Lower Test Rate
Ethiopia,115223736,20900,365,0.02%,1.75%,181,3,468814,4069,Africa,0.004068728,Lower Test Rate
Australia,25528864,19890,255,0.08%,1.28%,779,10,4631419,181419,WesternPacific,0.181418923,High Test Rate
El Salvador,6489514,19126,513,0.30%,2.68%,2947,79,251271,38720,Americas,0.03871954,Medium Test Rate
Czechia,10711019,17731,390,0.17%,2.20%,1655,36,728670,68030,Europe,0.068029942,Medium Test Rate
Cameroon,26606188,17718,391,0.07%,2.21%,666,15,149000,5600,Africa,0.005600201,Lower Test Rate
Ivory Coast,26437950,16447,103,0.06%,0.63%,622,4,104584,3956,Africa,0.003955829,Lower Test Rate
S. Korea,51273732,14519,303,0.03%,2.09%,283,6,1613652,31471,WesternPacific,0.031471319,Medium Test Rate
Denmark,5794279,14306,617,0.25%,4.31%,2469,106,1654512,285542,Europe,0.285542343,High Test Rate
Palestine,5112340,13398,92,0.26%,0.69%,2621,18,200280,39176,MiddleEast,0.039175798,Medium Test Rate
Bosnia and Herzegovina,3278650,13396,384,0.41%,2.87%,4086,117,147021,44842,Europe,0.044841932,Medium Test Rate
Bulgaria,6942854,13014,435,0.19%,3.34%,1874,63,294087,42358,Europe,0.042358229,Medium Test Rate
Madagascar,27755708,12526,134,0.05%,1.07%,451,5,46301,1668,Africa,0.001668161,Lower Test Rate
Sudan,43943536,11780,763,0.03%,6.48%,268,17,401,9,MiddleEast,9.13E-06,Lower Test Rate
North Macedonia,2083365,11399,517,0.55%,4.54%,5471,248,109946,52773,Europe,0.052773278,Medium Test Rate
